Feature,Importance,Std
WEIGHT_FROM_MAX,0.018319682943025117,0.010307994700405323
MCQ300C,0.018066026747891772,0.00977683565860828
LBXTC,0.01341702470909838,0.007219644977338233
LBDHDD,0.01140421905068314,0.0059904982903277
RIDAGEYR,0.010212499262637953,0.008513322936769813
LBXSASSI,0.010197023861079624,0.004795249011966217
BPQ100D,0.010027796003603085,0.0035833790299569374
TG_HDL_RATIO,0.00887666414580115,0.005954636344519777
DR1TSUGR,0.008852921622551746,0.00447636299098689
WEIGHT_CHANGE_10YR,0.008279045268654694,0.004939366520349079
SUGAR_CARB_RATIO,0.0073963246161891875,0.0053603281917107845
WHD110,0.0072109321402125115,0.008714188584317628
DR1TALCO,0.0067276656210436105,0.003893545241188323
LBXSATSI,0.006615910190089091,0.004067760849559678
ACR_RATIO,0.005842284451961688,0.005844790172836409
CARB_FIBER_RATIO,0.005432816602150903,0.004853706830534246
LBDLDL,0.004835545447640244,0.0061508717087094805
LBXSGTSI,0.004357139276140354,0.006023440773143168
DR1TPROT,0.004216340457802836,0.0016836258344823877
DR1_320Z,0.004089078364338661,0.0017514400526072883
WHD120,0.0034006465327179767,0.0032584243054375175
PAQ650,0.0032068227143077664,0.0027870264538509735
ALQ130,0.002875850678217462,0.0010955324475600881
DR1TMFAT,0.00272815518714129,0.0011087842899145215
DBD900,0.002675016295846633,0.0015139286041717616
SMQ040,0.0026016776107558592,0.002026968969809676
WHD140,0.002549983153030189,0.0044440181413336055
BMXWT,0.002507168133084914,0.0027515295385940105
SLQ310_HOURS,0.002457943012902375,0.001305802267937698
LBXHCT,0.002173768994292791,0.003405536795458935
PAD680,0.0021225260918323885,0.0033905700940836904
AVG_DIA_BP,0.00196704376387431,0.0025996562512640535
DR1TCARB,0.0018589707275405432,0.0036181969072567395
MAP,0.001827060090132504,0.0020001003490662363
SMD650,0.0017751387395427143,0.0038651928734706386
URXUCR,0.0017349959668672144,0.006383046839335102
BPQ090D,0.0016451644924933451,0.005136656153336791
WHD130,0.0015300125555535837,0.009581109798719022
DPQ060,0.0014429720434508408,0.0014429720434508406
SLD013,0.0012255300632653676,0.001863674639655091
BPXDI3,0.0012148240569127221,0.0022497919843962487
LBXSCR,0.0011691306992617002,0.003168575718613526
DR1TSODI,0.0011543776347606727,0.0014138180878222868
BPXSY1,0.0009826752024966411,0.002423176437912618
PAQ605,0.0008785638475179325,0.0013420284447008555
DR1TKCAL,0.0008676669399842352,0.0021580082313501846
BPXSY3,0.0007151745703263268,0.0033289386653560073
BP_VARIABILITY,0.0006703792518725548,0.002070510383992456
DR1TFIBE,0.0006658657716571925,0.002244327479855841
LBXWBCSI,0.0006037199552354266,0.002255724418070828
DPQ020,0.0005857092316786216,0.0011714184633572432
TOTAL_WATER,0.0005771888173803363,0.0011543776347606727
DR1_330Z,0.0005738789333353034,0.001225954193981116
PULSE_PRESSURE,0.0005475119368100967,0.004913087350845008
DR1BWATZ,0.0005063562018041035,0.001324026272042168
ALQ121,0.00042514533780457775,0.0023165977830271432
WAKE_TIME_DIFF,0.00039887322879584853,0.0025190748479152437
DR1TCAFF,0.00030674727177913973,0.001984705174007802
SLEEP_DURATION_DIFF,0.00028859440869016817,0.0008657832260705045
DPQ090,0.00028859440869016817,0.0008657832260705045
DPQ080,0.0002333774184349213,0.000700132255304764
BPQ020,0.00022253301706081085,0.002609669921447295
NON_HDL_CHOL,0.00021099879280771504,0.0032344564054036335
MCQ160E,0.00019442841839629744,0.0005832852551888923
PAQ620,9.067901206786245e-05,0.0019980854974196837
PHQ9_SCORE,8.738896476007119e-05,0.0015208347913413013
BMXBMI,4.7003150289381956e-05,0.0032794439613223324
BMXHT,4.898195357394552e-06,0.0015343669971078916
MCQ160C,0.0,0.0
DPQ030,0.0,0.0
MCQ160F,0.0,0.0
MCQ160D,0.0,0.0
SMQ020,0.0,0.0
MCQ160B,0.0,0.0
ANY_CVD,0.0,0.0
PAQ665,0.0,0.0
DBD895,0.0,0.0
PAQ635,0.0,0.0
KIQ022,0.0,0.0
SLD012,-7.588804249611947e-05,0.002432660141180609
DPQ010,-0.00019377605350066052,0.0005813281605019816
MCQ220,-0.00019377605350066052,0.0005813281605019816
DPQ050,-0.00029083080872198684,0.0008724924261659606
BPQ080,-0.00029083080872198684,0.0008724924261659606
DBQ197,-0.0003555682327262777,0.0015400324573547099
BPXDI1,-0.00037316778226879064,0.002525169141282776
MCQ160L,-0.00038755210700132104,0.0007751042140026421
BPXDI2,-0.0004862974813590104,0.0009900999074418458
DBQ700,-0.0005329943209564037,0.0019678373048579822
LBXHGB,-0.0007337206647738736,0.003906659488209665
URXUMA,-0.0008676664240499177,0.004716115540113649
DPQ040,-0.0008782883203897196,0.0016687443064739237
SLQ330_HOURS,-0.0009276132474383525,0.0023829782470510302
BPXSY2,-0.0009960111471331134,0.0016113955872386655
BMXWAIST,-0.0010949032888139976,0.006327225146133564
SLQ050,-0.0011626563210039632,0.0009493049108937445
WAIST_HEIGHT_RATIO,-0.0013305107699035368,0.00974683883813105
SAT_FAT_PCT,-0.0014262444309216748,0.0028757551836434163
DR1TSFAT,-0.0014271976127503971,0.0030691934653604685
DPQ070,-0.0014767387931980513,0.0011442150758437571
DR1TTFAT,-0.0015124111479240866,0.0021480301079060864
AVG_SYS_BP,-0.0016886328003147266,0.0026333819093299245
RIAGENDR,-0.0022232414266023736,0.0029835195009122084
DR1TPFAT,-0.002307527806922771,0.0015169983293351827
LBXPLTSI,-0.0026243722445134067,0.005865856718208207
LBXTR,-0.0030327957557487405,0.00633004827674429
BPQ040A,-0.004671848431889669,0.004148577154480366
CDQ010,-0.004795799415628943,0.006287409112070147
WEIGHT_CHANGE_25,-0.005358295535725155,0.0037049831470599734
